title,author,press_time,money,rating_num,rating_people,short_produce
长袜子皮皮,[瑞典] 阿斯特丽德·林格伦 , 1999-3 , 17.80元,9,9266人评价,空
2001太空漫游,[英] 阿瑟·克拉克 , 2007-11 , 28.00元,9.1,7161人评价,科幻三巨头之一阿瑟·克拉克代表作
海底两万里,[法国] 儒尔·凡尔纳 , 2002-9 , 19.50元,8.5,84809人评价,你听说过鹦鹉螺号吗？
社会性动物,Elliot Aronson , 2007-12 , 45.00元,9.1,9301人评价,美国社会心理学的《圣经》
欢乐英雄,古龙 , 2005-8 , 28.00元,8.8,13553人评价,坚持自己的信念，在贫穷中获得欢乐与友谊
长夜难明,紫金陈 , 2017-1 , 42.00元,8.5,47692人评价,空
尘埃落定,阿来 , 1998-3-1 ,22,8.5,53916人评价,一个傻子的土司家族传奇
西方哲学史（上卷）,[英] 罗素 , 1963-9 ,25,8.9,11982人评价,西方哲学史及其与从古代到现代的政治、社会情况的联系
如父如子,[日] 是枝裕和 , 2018-4 ,49.8,8.9,17829人评价,空
批评官员的尺度,[美] 安东尼·刘易斯 , 2011-7 , 32.00元,8.9,8867人评价,新闻自由史上的里程碑案件：《纽约时报》诉沙利文案
过于喧嚣的孤独,(捷克) 赫拉巴尔 , 2011-10 , 22.00元,8.8,11562人评价,我为它而活着，并为写它推迟了我的死亡
