title,author,press_time,money,rating_num,rating_people,short_produce
神雕侠侣,金庸 , 1994-5 , 76.80元,8.9,83456人评价,至情至性，情大于武
悲惨世界（上中下）,[法] 雨果 , 1992-6 , 66.00元,9,52169人评价,现实主义与浪漫主义的至高杰作
许三观卖血记,余华 , 1998-9 , 16.80元,8.8,199907人评价,以博大的温情描绘磨难中的人生
上帝掷骰子吗,曹天元 , 2006-1 , 32.00元,9.2,24626人评价,量子物理史话
卡拉马佐夫兄弟,[俄] 费奥多尔·陀思妥耶夫斯基 , 2006-8 , 25.00元,9.4,16561人评价,错综复杂的社会、家庭矛盾和人性悲剧
彷徨,鲁迅 , 1973-3 , 0.37元,9.1,34060人评价,路漫漫其修远兮，吾将上下而求索
朝花夕拾,鲁迅 , 1972-4 , 0.25元,8.9,100995人评价,在纷扰中寻出一点闲静
树上的男爵,[意] 伊塔洛·卡尔维诺 , 2012-4-1 , 30.00元,9.1,26834人评价,是不是真的只有先与人疏离，才能最终与他们在一起？
哭泣的骆驼,三毛 , 2003-6 , 15.80元,8.9,46990人评价,沙漠中寻常的生与死
邓小平时代,[美] 傅高义 , 2013-1 , 88.00元,9.2,32536人评价,个人命运背后的历史变局
看见,柴静 , 2013-1-1 , 39.80元,8.8,286156人评价,在这里看见中国
灿烂千阳,[美] 卡勒德·胡赛尼 , 2007-9 , 28.00元,8.8,94609人评价,唯有希望与爱可以驱散阴霾
浪潮之巅,吴军 , 2011-8 , 55.00元,9,27611人评价,了解IT领域的入门读物
台北人,白先勇 , 2010-10 , 38.00元,8.9,39415人评价,白先勇短篇小说集
诗经,孔丘 编订 , 2006-7 , 19.90元,9.4,19298人评价,思无邪
西游记（全二册）,吴承恩 , 2004-8 , 47.20元,8.9,62810人评价,神魔皆有人情，精魅亦通世故
人间词话,王国维 , 1998-12-01 , 9.80元,9,42522人评价,以新眼光评旧文学
永恒的终结,[美] 艾萨克·阿西莫夫 , 2014-9-1 , 32.00元,9,26002人评价,关于时间旅行的终极奥秘和恢宏构想
悉达多,[德] 赫尔曼·黑塞 , 2009-3 ,20,9,28289人评价,在那最绝望的一刹那，他突然听到了生命之河永恒的声音……
窗边的小豆豆,[日] 黑柳彻子 著 , 2003-1 , 20.00元,8.7,166147人评价,真正懂孩子的教育经
